feature_level,operator,layer,state_count,distinct_tuples,mean_radius,max_radius
L0_Coarse,ExpMinusLog,0,1,1,0.0,0.0
L0_Coarse,ExpMinusLog,1,7,2,1.39971,4.88998
L0_Coarse,ExpMinusLog,2,22,3,1.74685,5.76461
L0_Coarse,ExpMinusLog,3,42,4,1.71053,5.74737
L0_Coarse,ExpMinusLog,4,57,5,1.6692,5.37771
L0_Coarse,ExpMinusLog,5,63,6,1.56557,5.02886
L0_Coarse,ExpMinusLog,6,64,7,1.53093,4.88998
L0_Coarse,ExpMinusLog,7,64,7,1.53093,4.88998
L0_Coarse,ExpMinusLog,8,64,7,1.53093,4.88998
L1_Shallow,ExpMinusLog,0,1,1,0.0,0.0
L1_Shallow,ExpMinusLog,1,7,2,1.71429,6.0
L1_Shallow,ExpMinusLog,2,22,3,2.13945,7.06018
L1_Shallow,ExpMinusLog,3,42,4,2.09496,7.03906
L1_Shallow,ExpMinusLog,4,57,5,2.04434,6.58633
L1_Shallow,ExpMinusLog,5,63,6,1.91742,6.15908
L1_Shallow,ExpMinusLog,6,64,7,1.875,6.0
L1_Shallow,ExpMinusLog,7,64,7,1.875,6.0
L1_Shallow,ExpMinusLog,8,64,7,1.875,6.0
L2_Hist,ExpMinusLog,0,1,1,0.0,0.0
L2_Hist,ExpMinusLog,1,7,4,2.59854,7.75859
L2_Hist,ExpMinusLog,2,22,7,3.0926,9.13671
L2_Hist,ExpMinusLog,3,42,10,3.08279,9.12135
L2_Hist,ExpMinusLog,4,57,13,3.07776,8.55032
L2_Hist,ExpMinusLog,5,63,15,3.04462,8.00835
L2_Hist,ExpMinusLog,6,64,16,3.02876,7.84777
L2_Hist,ExpMinusLog,7,64,16,3.02876,7.84777
L2_Hist,ExpMinusLog,8,64,16,3.02876,7.84777
L3_FullRich,ExpMinusLog,0,1,1,0.0,0.0
L3_FullRich,ExpMinusLog,1,7,7,3.23048,9.00246
L3_FullRich,ExpMinusLog,2,22,15,3.74908,10.6934
L3_FullRich,ExpMinusLog,3,42,22,3.74988,10.8173
L3_FullRich,ExpMinusLog,4,57,28,3.76226,10.313
L3_FullRich,ExpMinusLog,5,63,31,3.7449,9.77375
L3_FullRich,ExpMinusLog,6,64,32,3.72943,9.55942
L3_FullRich,ExpMinusLog,7,64,32,3.72943,9.55942
L3_FullRich,ExpMinusLog,8,64,32,3.72943,9.55942
