replicate,L1_Shallow,L2_Shuffled,L2_Hist
1,0.741175,0.552941,0.647015
2,0.658034,0.541176,0.811765
3,0.441098,0.560882,0.494118
4,0.670588,0.64706,0.658824
5,0.411765,0.529412,0.647059
6,0.558824,0.6,0.676588
7,0.523529,0.564706,0.676529
8,0.568235,0.6,0.647824
9,0.482353,0.5625,0.611762
10,0.658824,0.6,0.79412
11,0.611764,0.647059,0.647176
12,0.494118,0.564706,0.647106
13,0.376471,0.529412,0.682529
14,0.552239,0.552941,0.629118
15,0.523529,0.588235,0.653529
16,0.717765,0.505882,0.676394
17,0.447058,0.647059,0.647059
18,0.635239,0.505882,0.558882
19,0.2,0.588235,0.629118
20,0.6,0.552941,0.705882
