operator,generation,state_count,negative_log_density,positive_log_density,repeated_negative_log_density,exp_negative_log_mix_density,mean_signed_log_imbalance
ExpMinusLog,0,1.0,0.0,0.0,0.0,0.0,0.0
ExpMinusLog,1,4.925,1.0,0.0,0.0,1.0,1.0
ExpMinusLog,2,10.7125,1.0,0.0,0.910952,1.0,1.91095
ExpMinusLog,3,13.5875,1.0,0.0,0.97321,1.0,2.72806
ExpMinusLog,4,10.9375,0.7875,0.0,0.7875,0.7875,2.71571
ExpMinusLog,5,5.5375,0.5375,0.0,0.5375,0.5375,2.25536
ExpMinusLog,6,1.6,0.4,0.0,0.4,0.4,1.93229
ExpMinusLog,7,0.2,0.2,0.0,0.2,0.2,1.0975
ExpPlusLog,0,1.0,0.0,0.0,0.0,0.0,0.0
ExpPlusLog,1,4.9,0.0,1.0,0.0,0.0,-1.0
ExpPlusLog,2,10.4875,0.0,1.0,0.0,0.0,-1.89076
ExpPlusLog,3,12.95,0.0,1.0,0.0,0.0,-2.69929
ExpPlusLog,4,10.1,0.0,0.825,0.0,0.0,-2.89857
ExpPlusLog,5,4.9795,0.0,0.5375,0.0,0.0,-2.28929
ExpPlusLog,6,1.4125,0.0,0.3625,0.0,0.0,-1.78933
ExpPlusLog,7,0.175,0.0,0.175,0.0,0.0,-0.975
XMinusLog,0,1.0,0.0,0.0,0.0,0.0,0.0
XMinusLog,1,4.75,1.0,0.0,0.0,0.0,1.0
XMinusLog,2,9.7125,1.0,0.0,1.0,0.0,2.0
XMinusLog,3,11.225,1.0,0.0,1.0,0.0,3.0
XMinusLog,4,7.9875,0.7875,0.0,0.7875,0.0,3.15
XMinusLog,5,3.4875,0.55,0.0,0.55,0.0,2.75
XMinusLog,6,0.85,0.325,0.0,0.325,0.0,1.95
XMinusLog,7,0.0875,0.0875,0.0,0.0875,0.0,0.6125
